trial,dis,ang
5.0,5.707996,45.0
5.0,2.780582,61.89452
5.0,0.9545178,66.55772
5.0,0.9545178,56.93817
5.0,0.9545178,56.93817
4.0,5.572756,44.99999
4.0,-0.5,109.2013
4.0,-0.5,53.32478
4.0,-0.5,53.61682
4.0,-0.5,53.61682
3.0,5.160087,44.99999
3.0,0.7662735,61.89451
3.0,0.3498335,31.70081
2.0,5.758192,45.0
2.0,3.119076,61.89452
2.0,1.030671,73.33955
1.0,5.587968,45.0
1.0,-0.5,121.882
1.0,-0.5,73.02856
