trial,dis,ang
50.0,6.731445,44.99999
50.0,-0.3910962,104.0749
50.0,-0.4002085,52.64879
50.0,-0.4038372,51.97154
50.0,-0.3963304,50.15672
49.0,7.984912,45.0
49.0,1.121777,125.1623
49.0,1.121777,74.41333
48.0,8.476177,44.99999
48.0,1.235318,116.0801
48.0,1.037789,73.08121
48.0,0.9309292,75.90259
47.0,7.068947,44.99999
47.0,0.9256395,140.3001
47.0,0.5764488,105.8697
47.0,0.6827347,104.0511
47.0,0.6622734,102.2911
46.0,7.912271,45.0
46.0,1.336056,136.1547
46.0,0.5858057,92.05581
46.0,0.9020724,85.31612
46.0,0.7611446,82.85027
45.0,8.434442,44.99999
45.0,0.7312303,151.0798
45.0,0.3997107,99.6535
45.0,0.6368942,94.24119
45.0,0.3908062,93.00524
44.0,5.971251,45.0
44.0,-0.5,151.682
43.0,6.472754,44.99999
43.0,-0.5,124.5282
42.0,6.746501,44.99999
42.0,-0.3436627,96.79682
41.0,5.959275,45.0
41.0,3.692033,62.71303
41.0,0.7008158,79.77702
41.0,0.8903235,76.645
40.0,6.446771,45.0
40.0,-0.5,129.0984
39.0,6.747953,44.99999
39.0,-0.5,117.8595
38.0,5.951886,44.99999
38.0,2.475232,84.64336
38.0,1.009002,71.98821
38.0,1.009002,73.61973
37.0,6.425491,45.0
37.0,3.362537,62.71303
37.0,0.1459673,73.60277
37.0,0.1054943,75.0821
36.0,6.716896,44.99999
36.0,2.316142,62.71303
36.0,0.3727789,50.59024
36.0,0.1812238,56.64882
36.0,0.04387188,58.1782
35.0,4.349088,45.0
35.0,-0.5,129.1241
34.0,4.43277,44.99999
34.0,-0.2740774,92.98609
34.0,-0.3564452,49.33971
33.0,4.526461,44.99999
33.0,0.6991398,62.71303
33.0,0.09429896,35.36763
32.0,4.436254,45.0
32.0,3.330868,62.71303
32.0,0.9616708,66.64408
32.0,0.7307293,70.0178
32.0,0.6222556,73.94169
31.0,4.460294,45.0
31.0,-0.5,112.2094
30.0,4.527493,44.99999
30.0,1.262432,62.71303
30.0,0.1922538,34.14481
30.0,0.1290919,40.50313
30.0,0.09396195,41.01645
29.0,4.545712,44.99999
29.0,1.875984,84.64336
29.0,1.053058,63.09809
28.0,4.519344,45.0
28.0,2.948087,62.71303
28.0,0.5536789,60.49638
28.0,0.4435032,64.70036
28.0,0.3079762,67.05427
27.0,4.51093,44.99999
27.0,1.82244,62.71303
27.0,0.3915986,43.19749
27.0,0.3226021,48.48602
27.0,0.2804343,50.64854
26.0,6.696008,44.99999
26.0,4.334604,64.2559
26.0,1.792162,88.92171
25.0,7.349474,44.99999
25.0,1.12181,113.344
25.0,0.8411367,74.351
25.0,0.8469301,79.21223
24.0,8.80969,45.00003
24.0,1.367638,115.7916
24.0,1.369555,66.87848
24.0,1.327599,69.37322
24.0,1.329616,71.1216
23.0,6.483998,45.0
23.0,4.43448,64.2559
23.0,1.775251,97.84695
23.0,1.73807,92.58147
23.0,1.73807,91.78152
22.0,7.225195,44.99999
22.0,3.905664,64.2559
22.0,0.9652976,83.15186
21.0,8.84104,45.00003
21.0,1.172434,125.3922
20.0,6.731753,45.0
20.0,4.837852,64.2559
20.0,1.73225,101.6063
19.0,7.048031,45.0
19.0,4.059074,64.2559
19.0,0.8802325,91.8177
18.0,8.827682,45.00003
18.0,1.299152,147.9067
17.0,7.12184,44.99999
17.0,-0.5,158.565
16.0,7.414182,44.99999
16.0,-0.2502581,120.4302
15.0,7.240713,45.0
15.0,1.912591,64.2559
15.0,-0.3252196,53.55691
14.0,7.107893,45.0
14.0,-0.4615093,162.9103
13.0,7.389912,44.99999
13.0,-0.4805984,131.4352
12.0,7.264427,44.99999
12.0,-0.5,118.4719
11.0,7.097169,45.0
11.0,1.013656,131.192
11.0,0.7332215,87.72803
10.0,7.367459,45.0
10.0,-0.3837657,155.5135
10.0,-0.2680588,105.2319
10.0,-0.160664,106.2189
10.0,-0.1319593,105.675
9.0,7.254023,44.99999
9.0,-0.05609953,144.1723
8.0,5.675292,44.99999
8.0,2.445508,64.2559
8.0,0.6720663,64.69688
8.0,0.4720429,65.95715
7.0,5.579974,44.99999
7.0,-0.4976397,107.1013
6.0,5.145774,45.0
6.0,-0.5,83.30884
5.0,5.707996,45.0
5.0,2.78568,62.71303
5.0,0.619361,62.95495
5.0,0.4433618,71.02054
4.0,5.572756,44.99999
4.0,-0.4609823,113.3243
3.0,5.160087,44.99999
3.0,0.8769748,62.71303
3.0,0.06263351,36.88297
2.0,5.758192,45.0
2.0,3.130466,62.71303
2.0,0.6676396,69.29051
1.0,5.587968,45.0
1.0,-0.4993029,125.2177
