trial,dis,ang
50.0,6.731445,44.99999
50.0,-0.4324193,102.119
50.0,-0.4324193,51.78443
50.0,-0.4324193,51.78443
50.0,-0.4324193,51.78443
49.0,7.984912,45.0
49.0,1.237585,124.5016
49.0,1.237585,73.76261
49.0,1.237585,73.76261
49.0,1.237585,73.76261
48.0,8.476177,44.99999
48.0,1.363297,115.2174
48.0,1.070723,73.98733
48.0,0.9958506,73.84965
48.0,0.5379343,78.02496
47.0,7.068947,44.99999
47.0,0.9920609,139.0658
47.0,0.5167097,109.2611
47.0,0.7317609,105.6642
47.0,0.8459784,105.1746
46.0,7.912271,45.0
46.0,1.415094,135.496
46.0,0.8581916,90.21053
46.0,0.6450895,87.71725
46.0,1.014275,81.24599
45.0,8.434442,44.99999
45.0,0.8761102,148.2008
45.0,0.4776564,97.09754
45.0,0.7873077,91.01595
45.0,0.4497185,89.83823
44.0,5.971251,45.0
44.0,-0.5,148.7001
44.0,-0.5,102.8809
44.0,-0.5,103.0718
44.0,-0.5,103.0718
43.0,6.472754,44.99999
43.0,-0.5,122.0846
43.0,-0.5,65.85033
43.0,-0.3053293,62.51134
43.0,-0.08374691,60.24782
42.0,6.746501,44.99999
42.0,-0.5,95.50645
42.0,-0.4194055,44.31146
42.0,-0.4158754,44.83616
42.0,-0.4158754,44.99128
41.0,5.959275,45.0
41.0,3.641043,61.46424
41.0,0.785547,75.64034
41.0,0.9328822,72.83942
41.0,1.110745,69.18428
40.0,6.446771,45.0
40.0,-0.5,125.59
40.0,-0.5,74.83461
40.0,-0.5,74.83461
40.0,-0.5,74.83461
39.0,6.747953,44.99999
39.0,-0.5,114.2204
39.0,-0.5,58.76377
39.0,-0.5,59.218
39.0,-0.5,59.218
38.0,5.951886,44.99999
38.0,2.703826,79.24862
38.0,0.9467918,71.4194
38.0,0.9467918,73.36395
38.0,0.9467918,73.36395
37.0,6.425491,45.0
37.0,3.328382,61.46424
37.0,0.03802562,69.97736
37.0,0.03337127,71.27344
37.0,0.0235185,71.42605
36.0,6.716896,44.99999
36.0,2.349801,61.46424
36.0,0.7325392,48.3971
36.0,0.172008,59.13931
36.0,0.04809523,60.52381
35.0,4.349088,45.0
35.0,-0.5,128.8755
35.0,-0.5,94.9733
34.0,4.43277,44.99999
34.0,-0.4225125,89.93084
34.0,-0.4940596,47.11593
34.0,-0.4940596,47.11593
33.0,4.526461,44.99999
33.0,0.4271238,61.46424
33.0,0.04533386,34.10059
33.0,0.04533386,34.10059
33.0,0.04533386,34.10059
32.0,4.436254,45.0
32.0,3.095625,61.46424
32.0,0.9916899,60.49593
32.0,0.7934966,63.29942
32.0,0.6142824,68.94678
31.0,4.460294,45.0
31.0,-0.5,109.8182
30.0,4.527493,44.99999
30.0,0.9927375,61.46424
30.0,0.0976851,31.25815
30.0,0.04149711,38.04621
30.0,0.01766849,38.29768
29.0,4.545712,44.99999
29.0,1.952167,79.24862
29.0,0.9782124,60.27253
29.0,0.9782124,60.27253
28.0,4.519344,45.0
28.0,2.679465,61.46424
28.0,0.450523,54.11824
28.0,0.3069656,59.39126
28.0,0.1865174,61.86269
27.0,4.51093,44.99999
27.0,1.555477,61.46424
27.0,0.1698196,38.0356
27.0,0.2009723,43.45831
27.0,0.2804512,44.30912
26.0,6.754801,44.99999
26.0,4.471441,62.17647
26.0,1.997576,88.66103
26.0,1.997576,83.38338
26.0,1.997576,83.38338
25.0,7.264454,44.99999
25.0,1.110238,116.4794
25.0,0.9001309,76.91079
25.0,0.6931802,84.52757
24.0,8.15409,45.0
24.0,0.6910841,124.0033
24.0,0.5798198,80.31602
23.0,6.845743,45.0
23.0,2.322002,124.0503
23.0,2.036015,88.09651
23.0,2.036015,84.20261
22.0,7.168522,44.99999
22.0,3.993844,62.17647
22.0,1.113848,81.83508
21.0,8.84104,45.00003
21.0,1.367175,123.4728
21.0,1.367175,72.74953
20.0,6.66353,45.0
20.0,4.853304,62.17647
20.0,1.938097,100.7094
20.0,1.808293,93.41991
20.0,1.831101,93.62996
19.0,7.265067,45.0
19.0,1.472132,116.4794
19.0,1.536155,66.19733
19.0,1.370922,71.50734
19.0,1.370922,70.24776
18.0,6.713168,44.99999
18.0,4.147684,62.17647
18.0,2.033282,84.04085
17.0,7.12184,44.99999
17.0,-0.5,157.8051
17.0,-0.4259791,110.1845
16.0,7.414182,44.99999
16.0,-0.1148545,120.1882
16.0,-0.1504442,69.54156
16.0,-0.1963292,69.68991
16.0,-0.2545967,69.86737
15.0,7.240713,45.0
15.0,2.141426,62.17647
15.0,-0.3848877,53.52334
15.0,-0.278091,46.8479
15.0,-0.1898465,44.00404
14.0,7.107893,45.0
14.0,-0.4715703,159.2848
14.0,-0.5,108.7359
13.0,7.389912,44.99999
13.0,-0.3701978,130.9981
13.0,-0.4799519,83.26759
13.0,-0.4799519,83.25929
12.0,7.264427,44.99999
12.0,-0.5,116.6475
11.0,7.097169,45.0
11.0,0.9515792,131.2419
11.0,0.7686983,86.31193
11.0,0.6488196,88.92648
10.0,7.367459,45.0
10.0,-0.4203707,155.4552
9.0,7.254023,44.99999
9.0,-0.0354552,141.9483
9.0,-0.01999041,91.20462
9.0,-0.01125991,91.31881
8.0,5.675292,44.99999
8.0,2.433874,62.17647
8.0,0.7455654,61.55796
8.0,0.4867525,65.94022
8.0,0.5192978,64.46772
7.0,5.579974,44.99999
7.0,-0.5,104.5796
7.0,-0.5,52.89011
7.0,-0.5,52.50863
6.0,5.145774,45.0
6.0,-0.5,79.91666
6.0,-0.5,30.3543
5.0,5.707996,45.0
5.0,2.749075,61.46424
5.0,0.6528714,62.10426
4.0,5.572756,44.99999
4.0,-0.5,109.7241
3.0,5.160087,44.99999
3.0,0.6124518,61.46424
3.0,0.08532858,34.88948
2.0,5.758192,45.0
2.0,3.079866,61.46424
2.0,0.6673436,65.53358
2.0,0.7766567,64.89709
2.0,0.9275756,61.34423
1.0,5.587968,45.0
1.0,-0.5,121.927
1.0,-0.5,71.958
