trial,dis,ang
50.0,6.731445,44.99999
50.0,-0.4129975,103.309
50.0,-0.4228597,50.83421
50.0,-0.42098,48.40088
50.0,-0.4017892,45.27145
49.0,7.984912,45.0
49.0,4.444869,64.12634
49.0,1.230735,88.67969
49.0,1.560047,66.75974
49.0,1.560047,66.75974
48.0,8.476177,44.99999
48.0,1.461935,115.2822
48.0,1.461935,64.69066
47.0,7.068947,44.99999
47.0,0.7745206,143.462
47.0,0.7745206,110.2403
46.0,7.912271,45.0
46.0,1.277637,137.9348
46.0,0.8183995,89.01846
45.0,8.434442,44.99999
45.0,4.201389,64.12634
45.0,1.064018,79.95637
44.0,5.971251,45.0
44.0,3.395352,64.12634
44.0,0.8858973,82.28796
44.0,0.6926398,73.3441
44.0,0.8524842,70.67847
43.0,6.472754,44.99999
43.0,-0.5,129.7262
43.0,-0.5,78.91002
42.0,6.746501,44.99999
42.0,-0.4527125,99.62327
41.0,5.959275,45.0
41.0,2.379578,80.265
41.0,0.8357906,67.79449
41.0,0.9450198,67.92112
40.0,6.446771,45.0
40.0,-0.5,126.6548
39.0,6.747953,44.99999
39.0,-0.5,117.4345
39.0,-0.5,65.82024
38.0,5.951886,44.99999
38.0,2.686703,80.265
38.0,0.9061446,74.83376
38.0,1.185415,75.58174
38.0,1.185415,75.58174
37.0,6.425491,45.0
37.0,1.881644,80.265
37.0,0.2198136,61.18382
36.0,6.716896,44.99999
36.0,2.351351,64.12634
36.0,0.398508,60.49375
36.0,0.1525167,58.63154
36.0,0.07339215,59.59873
35.0,4.349088,45.0
35.0,-0.4087391,132.6786
35.0,-0.4438272,98.18246
34.0,4.43277,44.99999
34.0,-0.2452366,83.25516
33.0,4.526461,44.99999
33.0,0.9501442,64.12634
33.0,0.6838919,30.21715
32.0,4.436254,45.0
32.0,3.521023,64.12634
32.0,1.01265,87.40112
32.0,1.336907,63.61899
32.0,1.591325,58.15754
31.0,4.460294,45.0
31.0,-0.5,111.7756
30.0,4.527493,44.99999
30.0,1.500108,64.12634
30.0,0.9134198,40.32193
29.0,4.545712,44.99999
29.0,2.124831,80.265
29.0,1.113398,62.64232
28.0,4.519344,45.0
28.0,1.010426,80.265
28.0,0.4450319,47.62088
27.0,4.51093,44.99999
27.0,2.049582,64.12634
27.0,1.044439,51.24802
27.0,1.044439,42.96006
26.0,6.745,44.99999
26.0,4.334573,64.12634
26.0,2.31358,81.77162
25.0,7.207837,44.99999
25.0,0.8766996,131.2117
24.0,8.80969,45.00003
24.0,1.490348,112.6836
23.0,6.552371,45.0
23.0,4.462053,64.12634
23.0,2.334249,88.9238
23.0,1.750996,89.7825
22.0,7.423934,44.99999
22.0,7.423934,0.0
21.0,8.84104,45.00003
21.0,1.108546,125.578
21.0,1.199318,73.06164
21.0,1.288351,73.31932
20.0,6.49799,45.0
20.0,4.694693,64.12634
20.0,2.395833,92.19361
20.0,1.954605,91.10701
19.0,8.913267,45.0
19.0,8.913267,0.01978234
18.0,7.988707,44.99999
18.0,3.762301,64.12634
18.0,0.9044369,73.89803
18.0,0.9044369,66.1051
18.0,0.9044369,66.1051
17.0,7.12184,44.99999
17.0,-0.5,162.3429
17.0,-0.5,114.8151
16.0,7.414182,44.99999
16.0,-0.04161194,116.5498
16.0,-0.02902815,65.87356
15.0,7.240713,45.0
15.0,1.815567,64.12634
15.0,-0.06999341,46.33853
14.0,7.107893,45.0
14.0,-0.5,160.3102
14.0,-0.5,109.0553
13.0,7.389912,44.99999
13.0,-0.3170395,130.3482
13.0,-0.1600208,79.60902
12.0,7.264427,44.99999
12.0,-0.5,114.4275
12.0,-0.5,63.85072
11.0,7.097169,45.0
11.0,1.195761,126.4367
11.0,1.195761,75.66875
10.0,7.367459,45.0
10.0,3.578136,64.12634
10.0,-0.02384049,85.97829
9.0,7.254023,44.99999
9.0,-0.04070139,143.7523
9.0,-0.03573561,92.73526
8.0,5.675292,44.99999
8.0,2.507396,64.12634
8.0,0.8637553,64.04427
8.0,0.5174893,66.41722
7.0,5.579974,44.99999
7.0,-0.4657321,104.6115
6.0,5.145774,45.0
6.0,-0.5,81.63185
6.0,-0.5,31.97838
5.0,5.707996,45.0
5.0,2.856775,64.12634
5.0,0.9067518,71.26854
4.0,5.572756,44.99999
4.0,-0.4778612,111.7023
4.0,-0.4756613,56.24297
3.0,5.160087,44.99999
3.0,1.079155,64.12634
3.0,0.4399401,35.50099
2.0,5.758192,45.0
2.0,3.206895,64.12634
2.0,0.9397795,78.45365
1.0,5.587968,45.0
1.0,-0.5,126.3107
1.0,-0.5,80.97138
