trial,dis,ang
50.0,6.731445,44.99999
50.0,-0.447999,101.1966
50.0,-0.4349003,48.70348
50.0,-0.4074702,45.51797
50.0,-0.2343383,43.47952
49.0,7.984912,45.0
49.0,0.9570071,130.7539
49.0,1.101068,72.93602
49.0,1.503417,63.95988
49.0,0.6554993,82.77338
48.0,8.476177,44.99999
48.0,1.350591,116.0758
48.0,1.202479,71.83785
48.0,1.226894,71.48917
48.0,1.170471,73.40626
47.0,7.068947,44.99999
47.0,0.9920609,139.0658
47.0,0.612638,108.1074
47.0,0.8774254,102.2061
47.0,0.6863916,105.0219
46.0,7.912271,45.0
46.0,0.6596442,143.939
46.0,0.603224,89.35316
46.0,0.6192605,85.39821
46.0,1.044244,78.40501
45.0,8.434442,44.99999
45.0,0.8761102,148.2008
45.0,0.487874,95.47813
45.0,0.8625059,88.00063
45.0,0.9022551,84.03349
44.0,5.971251,45.0
44.0,-0.5,148.7001
44.0,-0.5,103.8205
43.0,6.472754,44.99999
43.0,-0.5,121.3371
42.0,6.746501,44.99999
42.0,-0.5,94.94173
41.0,5.959275,45.0
41.0,0.05999875,137.331
41.0,0.06019664,92.61596
40.0,6.446771,45.0
40.0,-0.5,125.3931
40.0,-0.5,76.84035
39.0,6.747953,44.99999
39.0,-0.5,116.7174
39.0,-0.3499447,69.31789
38.0,5.951886,44.99999
38.0,1.3692,114.7784
38.0,0.6359367,78.56021
38.0,0.7817563,78.65028
38.0,1.18581,73.09073
37.0,6.425491,45.0
37.0,3.328382,61.46424
37.0,0.02161372,69.18515
37.0,0.01508349,70.20773
37.0,0.01032805,70.27942
36.0,6.716896,44.99999
36.0,2.349801,61.46424
36.0,0.7887896,45.79191
36.0,0.1937704,57.05439
36.0,0.08299828,58.78539
35.0,4.349088,45.0
35.0,-0.5,128.8755
34.0,4.43277,44.99999
34.0,-0.4225125,89.93084
33.0,4.526461,44.99999
33.0,0.4271238,61.46424
33.0,0.07390141,33.99295
33.0,0.02214408,34.30915
32.0,4.436254,45.0
32.0,3.095625,61.46424
32.0,1.164569,56.34495
32.0,0.9767029,59.06928
32.0,1.343145,60.14981
31.0,4.460294,45.0
31.0,-0.5,109.8182
30.0,4.527493,44.99999
30.0,0.9927375,61.46424
30.0,0.1646025,30.39281
30.0,0.06843591,37.80967
30.0,0.03306365,38.17624
29.0,4.545712,44.99999
29.0,0.2266166,114.7784
29.0,0.1755873,75.52731
29.0,0.1468588,76.0617
29.0,0.12906,76.3983
28.0,4.519344,45.0
28.0,2.679465,61.46424
28.0,0.6218206,50.62879
28.0,0.4515883,56.73138
28.0,0.3265539,58.78027
27.0,4.51093,44.99999
27.0,1.555477,61.46424
27.0,0.2657681,36.33448
27.0,0.3332552,41.78343
27.0,0.2110211,44.04292
26.0,6.470827,44.99999
26.0,4.266771,62.25126
26.0,2.464865,71.66293
26.0,1.812656,87.0523
26.0,2.071534,79.06853
25.0,7.085344,44.99999
25.0,0.9302837,129.8233
25.0,0.7554706,86.60329
25.0,0.6590248,90.16682
25.0,0.6213911,92.5726
24.0,8.035886,45.0
24.0,-0.3424449,145.1447
24.0,-0.3188627,92.28094
24.0,-0.2848537,90.73902
24.0,-0.239177,88.40327
23.0,6.718548,45.0
23.0,2.538675,116.4794
23.0,2.179125,84.04492
23.0,2.678685,64.46365
23.0,2.226859,79.01628
22.0,7.234645,44.99999
22.0,-0.4269497,153.886
21.0,8.085505,44.99999
21.0,0.6025296,134.9738
21.0,0.810807,79.10747
21.0,1.230329,71.29236
21.0,0.5233207,79.12505
20.0,6.644044,45.0
20.0,4.839008,62.25126
20.0,2.761162,79.10693
20.0,2.737684,69.67595
20.0,3.315848,53.78759
19.0,7.189491,45.0
19.0,-0.03737569,154.9106
18.0,7.762907,44.99999
18.0,-0.5,151.2916
17.0,7.12184,44.99999
17.0,-0.5,155.7724
17.0,-0.4940457,107.5429
16.0,7.414182,44.99999
16.0,-0.0247061,118.5643
16.0,-0.03314775,67.92312
16.0,-0.04443386,67.95636
15.0,7.240713,45.0
15.0,0.4362543,93.96764
15.0,0.5416791,52.0529
15.0,0.7137123,57.21193
15.0,0.8701707,62.37376
14.0,7.107893,45.0
14.0,-0.5,158.5173
14.0,-0.4958046,105.2261
13.0,7.389912,44.99999
13.0,-0.3194447,129.7357
12.0,7.264427,44.99999
12.0,-0.5,116.7933
12.0,-0.5,66.90132
11.0,7.097169,45.0
11.0,0.8889958,133.1779
11.0,0.6804059,88.48424
11.0,0.5613219,90.63891
11.0,0.4986636,91.81899
10.0,7.367459,45.0
10.0,-0.4659843,155.5097
10.0,-0.3355489,106.561
10.0,-0.2014008,108.9315
9.0,7.254023,44.99999
9.0,-0.02776501,142.1327
9.0,-0.01315919,91.40924
8.0,5.675292,44.99999
8.0,2.429347,62.25126
8.0,1.105602,49.0346
8.0,0.6281158,60.20831
7.0,5.579974,44.99999
7.0,-0.5,103.3421
7.0,-0.5,52.02036
6.0,5.145774,45.0
6.0,-0.5,79.34279
6.0,-0.5,30.12115
5.0,5.707996,45.0
5.0,2.749075,61.46424
5.0,0.9664875,53.24486
5.0,0.5958772,64.25227
5.0,0.4026287,69.92201
4.0,5.572756,44.99999
4.0,-0.5,110.6032
4.0,-0.5,55.52233
3.0,5.160087,44.99999
3.0,0.6124518,61.46424
3.0,0.0713799,34.85571
2.0,5.758192,45.0
2.0,3.079866,61.46424
2.0,0.6710765,64.76769
2.0,0.479473,72.4593
2.0,0.6146591,68.90572
1.0,5.587968,45.0
1.0,-0.5,120.6503
1.0,-0.5,69.03381
